"word","form","level"
"convert","v.","B2"
"convince","v.","B1"
"convinced","adj.","B2"
"convincing","adj.","B2"
"cook","n.","A2"
"cook","v.","A1"
"cooker","n.","A2"
"cooking","n.","A1"
"cool","adj.","A1"
"cool","v.","B1"
"cop","n.","C1"
"cope","v.","B2"
"copper","n.","C1"
"copy","n.","A2"
"copy","v.","A2"
"copyright","n.","C1"
"core","adj.","B2"
"core","n.","B2"
"corner","n.","A2"
"corporate","adj.","B2"
"corporation","n.","B2"
"correct","adj.","A1"
"correct","v.","A1"
"correction","n.","C1"
"correctly","adv.","A2"
"correlate","v.","C1"
"correlation","n.","C1"
"correspond","v.","C1"
"correspondence","n.","C1"
"correspondent","n.","C1"
"corresponding","adj.","C1"
"corridor","n.","B2"
"corrupt","adj.","C1"
"corruption","n.","C1"
"cost","n.","A1"
"cost","v.","A1"
"costly","adj.","C1"
"costume","n.","B1"
"cottage","n.","B1"
"cotton","n.","B1"
"could","modal v.","A1"
"council","n.","B2"
"councillor","n.","C1"
"count","n.","B1"
"count","v.","A2"
"counter","(argue against) v.","C1"
"counter","(long flat surface) n.","B2"
"counterpart","n.","C1"
"countless","adj.","C1"
"country","n.","A1"
"countryside","n.","B1"
"county","n.","B2"
"coup","n.","C1"
"couple","n.","A2"
"courage","n.","B2"
"course","n.","A1"
"court","n.","B1"
"courtesy","n.","C1"
"cousin","n.","A1"
"cover","n.","B1"
